,smp_id,lay_depth_to_top,lay_depth_to_bottom,longitude.std.decimal.degrees,latitude.std.decimal.degrees
1,25666,84,140,-89.7903748,46.7072182
2,25675,114,152,-89.2764664,46.8416634
3,26431,114,127,-121.5709667,39.5882083
4,26447,5,15,-121.3948364,39.4845657
5,26478,147,203,-121.3829167,39.5470278
6,27444,28,52,-121.2228317,39.4941673
7,27462,0,20,-120.2228317,40.4941673
8,27472,130,208,-121.427002,40.6040001
9,27489,59,91,-120.427002,41.6040001
10,29539,0,5,-119.427002,44.6948051
11,29761,89,152,-123.288414,44.6948051
12,32443,0,30,-105.9748688,39.1016006
13,32586,38,75,-103.8286417,43.9185083
14,33425,0,2,-123.0508041,45.277195
15,34919,7,17,-159.652771,22.1138897
16,35257,145,155,-123.8939972,45.1892395
17,37134,15,39,-119.7982022,37.6721479
18,37625,3,4,-123.6454086,41.1480522
19,37712,64,193,-89.1184082,46.5480537
20,37731,46,79,-89.1734085,46.5897179
